kf_mgkg,frequency_thz,eps_real
84,0.715,1.2526918649852734
84,0.72,1.2543632607344248
84,0.725,1.2566762389301085
84,0.73,1.2552895794149521
84,0.735,1.2523689319947446
84,0.74,1.2523682360960189
84,0.745,1.2528301505453252
84,0.75,1.2539357451890316
84,0.755,1.251461250808331
84,0.76,1.2535292615572773
84,0.765,1.2551718233218478
84,0.77,1.2526316643639455
84,0.775,1.2526815257088464
84,0.78,1.2546669261673653
84,0.785,1.2560342709851429
84,0.79,1.2507743533647424
84,0.7949999999999999,1.251749651978499
84,0.8,1.2575144753984593
84,0.8049999999999999,1.2543429257344125
84,0.81,1.2517509028409477
84,0.815,1.2549028109387552
84,0.8200000000000001,1.2586645193176922
84,0.825,1.253273800714272
84,0.8300000000000001,1.2525273624266537
84,0.835,1.2544152715030688
84,0.8400000000000001,1.2591330381937387
84,0.845,1.2536278061049821
84,0.8500000000000001,1.2567101653349386
84,0.855,1.258015943009636
84,0.86,1.2571725626375352
84,0.865,1.2548903557178015
84,0.87,1.2574918344254675
84,0.875,1.2564066983179298
84,0.88,1.2581383961407409
84,0.885,1.2572125600314594
84,0.89,1.2567138809759528
84,0.895,1.2521514220611292
84,0.9,1.2582125996216202
84,0.905,1.2564365474475379
84,0.91,1.2516619502451682
84,0.915,1.2568531086565569
84,0.9199999999999999,1.2578176217848422
84,0.925,1.2568974931449461
84,0.9299999999999999,1.251214699069531
84,0.935,1.2556105199266745
84,0.94,1.2551236291471635
84,0.9450000000000001,1.2568438401780229
84,0.95,1.2520065167333114
84,0.9550000000000001,1.258545611043398
84,0.96,1.2592721967906433
84,0.9650000000000001,1.2594696899446491
84,0.97,1.2579920886773872
84,0.9750000000000001,1.2579677736682648
84,0.98,1.2608114602810339
84,0.985,1.2595116841470455
84,0.99,1.2574152612717706
84,0.995,1.2592741182883194
84,1.0,1.2603269576779095
84,1.005,1.2616523758811258
84,1.01,1.25988724307802
84,1.0150000000000001,1.2568189981176028
84,1.02,1.2576006646232385
84,1.025,1.2594116396193622
84,1.03,1.2596633206617505
84,1.0350000000000001,1.2614669540911143
84,1.04,1.2542793075961578
84,1.045,1.2571982694601622
84,1.05,1.2561325595941162
84,1.0550000000000002,1.2616850844917908
84,1.06,1.2609119261179944
84,1.065,1.259822795926787
84,1.07,1.260993641963582
84,1.0750000000000002,1.2575559266037097
84,1.08,1.2602480455377933
84,1.085,1.2590659102966142
84,1.0899999999999999,1.2591075973947423
84,1.095,1.2585214133835967
84,1.1,1.261147990698142
84,1.105,1.2613600655669661
84,1.1099999999999999,1.255103411430947
84,1.115,1.2572687904527209
84,1.12,1.2586985631791587
84,1.125,1.2598280756021196
84,1.13,1.254314864693046
84,1.135,1.2559112488404514
84,1.1400000000000001,1.2573269478694638
84,1.145,1.262315035618361
84,1.15,1.2556957122570067
84,1.155,1.2567439737001125
84,1.1600000000000001,1.2575003160938156
84,1.165,1.2571742587085664
84,1.17,1.257661306544653
84,1.175,1.2570445642130499
84,1.1800000000000002,1.256481899403367
84,1.185,1.2574777800303434
84,1.19,1.257276867429121
84,1.195,1.2573428789782035
84,1.2000000000000002,1.257204244567034
84,1.205,1.2531169510072449
84,1.21,1.2562363314785676
84,1.2149999999999999,1.2559653666500508
84,1.22,1.2573043544543119
84,1.225,1.2568529183589008
84,1.23,1.2587543835139845
84,1.2349999999999999,1.2526932712142878
84,1.24,1.2540975964841794
84,1.245,1.2547066435320078
84,1.25,1.2523530348181215
84,1.255,1.252984323956106
84,1.26,1.2524685871936527
84,1.2650000000000001,1.2519268120452225
84,1.27,1.258472677152388
84,1.275,1.2523576108634957
84,1.28,1.2559081819228757
84,1.2850000000000001,1.2498451226532303
84,1.29,1.252362170052636
84,1.295,1.2497933582151075
84,1.3,1.251893315201756
84,1.3050000000000002,1.2548735880044062
84,1.31,1.2552450835904285
84,1.315,1.2521281918158411
84,1.32,1.2509236860323123
84,1.3250000000000002,1.2494804282287097
84,1.33,1.250103178324764
84,1.335,1.252208577085362
84,1.3399999999999999,1.2444532668631358
84,1.345,1.2473774604208336
84,1.35,1.2453868456340038
84,1.355,1.249939429191643
