day,has_kf_reference,kf_mgkg,frequency_thz,eps_real_mean,eps_real_sd,n_scans,eps_real_sem
10,True,91.0,0.97,1.419170626547028,0.1427396185733342,131,0.012471218379377131
10,True,91.0,0.98,1.4156246211175068,0.14354162330133877,131,0.012541289857809024
10,True,91.0,0.99,1.4148362843129512,0.144346262702909,131,0.012611591528739148
10,True,91.0,1.0,1.4123451776477338,0.1463806084663812,131,0.012789333143358833
10,True,91.0,1.01,1.4105434752386112,0.1473355295311933,131,0.012872764984170573
10,True,91.0,1.02,1.4088581048403843,0.14837245021502316,131,0.012963361164960361
10,True,91.0,1.03,1.409019723468141,0.1472291951015837,131,0.012863474501919308
10,True,91.0,1.04,1.4085952278671934,0.14696481945060633,131,0.012840375894045176
10,True,91.0,1.05,1.409598939608782,0.14577838035199667,131,0.012736716228701523
10,True,91.0,1.06,1.4102879548974654,0.14414723521649128,131,0.012594202416512126
10,True,91.0,1.07,1.4117514675413303,0.1423682309634345,131,0.012438770093240832
10,True,91.0,1.08,1.4115960558025469,0.14257180758199486,131,0.012456556664988584
10,True,91.0,1.09,1.4122707385450288,0.14147677274443268,131,0.01236088302701226
10,True,91.0,1.1,1.410742716960996,0.1412919186954514,131,0.012344732253763743
10,True,91.0,1.11,1.4102910378231328,0.14141851670704872,131,0.012355793173393522
10,True,91.0,1.12,1.4080746611261115,0.14332638765907893,131,0.012522484632430978
10,True,91.0,1.13,1.4078434212028497,0.1437511818566975,131,0.01255959907380152
10,True,91.0,1.14,1.405903936960804,0.14490141452824254,131,0.012660095368924816
10,True,91.0,1.15,1.4047339293027323,0.14436047992152368,131,0.012612833692896955
10,True,91.0,1.16,1.4037382241332306,0.14511829156714753,131,0.012679044003793608
10,True,91.0,1.17,1.405340809488306,0.14311759589163173,131,0.012504242411009373
10,True,91.0,1.18,1.4043161600780663,0.14464977954515013,131,0.012638109918372248
10,True,91.0,1.19,1.4055441890031237,0.14273361487697442,131,0.012470693833990682
10,True,91.0,1.2,1.40579402145158,0.1432203307976603,131,0.012513218401425158
10,True,91.0,1.21,1.4066493409094392,0.1407064680813396,131,0.012293581196111326
10,True,91.0,1.22,1.405882139842281,0.14255521289905176,131,0.012455106780807945
10,True,91.0,1.23,1.4058646195889606,0.14101983725002532,131,0.012320960387502647
10,True,91.0,1.24,1.4050486589325426,0.14307503448767372,131,0.012500523803879844
10,True,91.0,1.25,1.4043200657178319,0.14191818783081359,131,0.012399449642176498
10,True,91.0,1.26,1.4039806201349463,0.14362472728209433,131,0.012548550686320105
10,True,91.0,1.27,1.4030300148882302,0.1426269699173219,131,0.012461376220603596
10,True,91.0,1.28,1.4016576607496078,0.14379612894414112,131,0.012563526119064979
10,True,91.0,1.29,1.402307630092398,0.14307834039158682,131,0.012500812642045823
10,True,91.0,1.3,1.4010945259377916,0.1436188190996583,131,0.01254803448602392
10,True,91.0,1.31,1.4012050692064122,0.14298707260507454,131,0.012492838538513998
10,True,91.0,1.32,1.4007895282446459,0.1437753903981224,131,0.012561714183886397
10,True,91.0,1.33,1.401472263663925,0.14154923421524693,131,0.012367214015112463
10,True,91.0,1.34,1.4011181301848024,0.14324084452438673,131,0.012515010694050971
10,True,91.0,1.35,1.401536150206034,0.14185537524948413,131,0.012393961681464808
10,True,91.0,1.36,1.4004975569288791,0.14293063456728575,131,0.012487907524257392
10,True,91.0,1.37,1.400395934168133,0.14180391552116475,131,0.012389465624126076
10,True,91.0,1.38,1.4001250574431643,0.1433739990295007,131,0.012526644457179048
10,True,91.0,1.39,1.4001580524697073,0.1427658629598157,131,0.012473511362070477
10,True,91.0,1.4,1.3994750407999326,0.1434392102183642,131,0.01253234198520402
10,True,91.0,1.41,1.3993947772677429,0.14153958222199184,131,0.012366370716546279
10,True,91.0,1.42,1.3999445274657039,0.1443644433024793,131,0.012613179975098856
10,True,91.0,1.43,1.3986883367576386,0.14228297871917506,131,0.012431321570075938
10,True,91.0,1.44,1.3991784359349162,0.1436752437965396,131,0.012552964334680027
10,True,91.0,1.45,1.3977666002701743,0.1425521723314723,131,0.012454841125185072
10,True,91.0,1.46,1.3991122893855787,0.1435348747141886,131,0.012540700231012041
10,True,91.0,1.47,1.3977579229214232,0.1416615268209828,131,0.012377025065628908
10,True,91.0,1.48,1.397245076660485,0.14264462096299502,131,0.012462918399624488
10,True,91.0,1.49,1.3983732171903034,0.14199340723859644,131,0.01240602159234845
10,True,91.0,1.5,1.3971535248452858,0.14321439272991035,131,0.012512699590036973
10,True,91.0,1.51,1.3966561813172227,0.1417234354614824,131,0.012382434048663595
10,True,91.0,1.52,1.3974246772895123,0.1433682583107869,131,0.012526142888256207
10,True,91.0,1.53,1.3966531047705637,0.1424800917127144,131,0.01244854341228353
10,True,91.0,1.54,1.3974633816291275,0.14288517893511476,131,0.012483936047234806
10,True,91.0,1.55,1.3969310646303619,0.1427519700030445,131,0.012472297528801477
10,True,91.0,1.56,1.3980602138926765,0.14393107829910295,131,0.012575316698952373
10,True,91.0,1.57,1.3972896317818877,0.1423253404609093,131,0.012435022732635982
10,True,91.0,1.58,1.3969987328472115,0.14247588960473698,131,0.01244817627240489
10,True,91.0,1.59,1.3974051283280757,0.1420111684856787,131,0.012407573399711163
10,True,91.0,1.6,1.395957119229312,0.14222958981559,131,0.012426656959911643
10,True,91.0,1.61,1.39575905757572,0.1410186659314071,131,0.01232085804891981
10,True,91.0,1.62,1.3962573983487494,0.14242833109201256,131,0.01244402106585528
10,True,91.0,1.63,1.3960932738854748,0.14254152375623488,131,0.012453910754846812
10,True,91.0,1.64,1.3959360475643778,0.14158258269907475,131,0.01237012768567285
10,True,91.0,1.65,1.3969242265792436,0.14307667925059614,131,0.0125006675074836
10,True,91.0,1.66,1.3930727713890652,0.13940930126250453,131,0.012180247204933096
10,True,91.0,1.67,1.3832057998584089,0.17682806138117335,131,0.015449539456023818
10,True,91.0,1.68,1.3872658373426336,0.1665273645463157,131,0.014549563394918752
10,True,91.0,1.69,1.3843200770675732,0.16034182831078095,131,0.014009130584757697
10,True,91.0,1.7,1.3849273661944363,0.16209683039621578,131,0.014162465828906996
10,True,91.0,1.71,1.384989900953344,0.1615018301885146,131,0.014110480419388729
10,True,91.0,1.72,1.3869135741156626,0.153000390550514,131,0.013367706189470722
10,True,91.0,1.73,1.3854676140629947,0.15971383876416148,131,0.013954262883315482
10,True,91.0,1.74,1.3870629175573574,0.1624040270597486,131,0.014189305726019133
10,True,91.0,1.75,1.3858639361964293,0.1596784351231772,131,0.013951169652840628
10,True,91.0,1.76,1.3861624709366156,0.1629502509347463,131,0.014237029527562192
10,True,91.0,1.77,1.3869110033972065,0.15974343865180654,131,0.013956849037506701
10,True,91.0,1.78,1.3858411116903044,0.16024329841745064,131,0.01400052198800719
10,True,91.0,1.79,1.3848942403648945,0.159200688080074,131,0.01390942869987892
10,True,91.0,1.8,1.386991810515467,0.16208081386202283,131,0.014161066457817194
10,True,91.0,1.81,1.3854990401095606,0.16050687087166587,131,0.014023550420254386
10,True,91.0,1.82,1.3832834592811984,0.16087281934493924,131,0.014055523486817172
10,True,91.0,1.83,1.3858473531476467,0.15959761623957194,131,0.013944108474194555
10,True,91.0,1.84,1.3873299919956874,0.1599060594217782,131,0.013971057280148861
10,True,91.0,1.85,1.3893700535073281,0.15932162884043893,131,0.01391999534317357
10,True,91.0,1.86,1.385228340346585,0.16034591846880472,131,0.014009487943523472
10,True,91.0,1.87,1.3922595821411918,0.1624089876464696,131,0.014189739134493288
10,True,91.0,1.88,1.3863725062576724,0.16066494423711003,131,0.014037361354318248
10,True,91.0,1.89,1.3866922563544124,0.1596568945927108,131,0.013949287647955515
10,True,91.0,1.9,1.3880606400183404,0.160459810111312,131,0.014019438702531311
10,True,91.0,1.91,1.3846605057219399,0.15699985190927623,131,0.013717140750831684
10,True,91.0,1.92,1.3850613101368823,0.16173227609927732,131,0.014130614572096162
10,True,91.0,1.93,1.383804905815615,0.15967282765716714,131,0.01395067972626057
10,True,91.0,1.94,1.388150179582643,0.16149190499254878,131,0.01410961325099088
10,True,91.0,1.95,1.3880015518778264,0.15926976420276084,131,0.013915463908739911
10,True,91.0,1.96,1.3868538163077435,0.1597352808615124,131,0.013956136288059364
10,True,91.0,1.97,1.3893483583088018,0.1544945418929488,131,0.013498250798385803
10,True,91.0,1.98,1.3862417555165798,0.1556805747856668,131,0.013601874973355917
10,True,91.0,1.99,1.3867494746910483,0.1574757061619247,131,0.01375871632992352
10,True,91.0,2.0,1.3873484324384666,0.15518706196351803,131,0.013558756557883356
15,True,99.0,0.5,1.417548526205528,0.09934006569963906,130,0.008712700126035559
15,True,99.0,0.51,1.4148477626662541,0.0998720834491435,130,0.008759361169397214
15,True,99.0,0.52,1.4118599861326202,0.10206143680345817,130,0.008951380161047056
15,True,99.0,0.53,1.410277076256624,0.10520696158610174,130,0.009227260934601711
15,True,99.0,0.54,1.4056264799233495,0.10851806700046968,130,0.009517664090245943
15,True,99.0,0.55,1.4035568199676698,0.1115533951389335,130,0.00978387997875274
15,True,99.0,0.56,1.4022377225167166,0.11339135034790028,130,0.009945079314267885
15,True,99.0,0.57,1.4030435929091212,0.1136382655324655,130,0.009966735208539045
15,True,99.0,0.58,1.4032319455241664,0.11418954301674922,130,0.010015085442384488
15,True,99.0,0.59,1.4060924158237529,0.1116056665776409,130,0.009788464487202645
15,True,99.0,0.6,1.408170164904473,0.10958594248788454,130,0.009611322966231805
15,True,99.0,0.61,1.4107200495420906,0.10590307114401311,130,0.009288313781609955
15,True,99.0,0.62,1.4126229126451721,0.10401365017007673,130,0.009122600599906175
15,True,99.0,0.63,1.4146979297433584,0.10117971179291288,130,0.008874047761914824
